name,constituency,email,website,office_type,office_title,office_address,office_city,office_province,office_postal_code,office_note,office_phone,office_fax,source,time_retrieved
Julie Dabrusin,Toronto—Danforth,julie.dabrusin@parl.gc.ca,http://juliedabrusin.libparl.ca,Constituency Office,Main office -  Toronto,,Toronto,Ontario,M4M 1K4,,416-405-8914,416-405-8916,https://www.ourcommons.ca/members/en/julie-dabrusin(88994),1705764558727
Marc Dalton,Pitt Meadows—Maple Ridge,Marc.Dalton@parl.gc.ca,http://www.marcdaltonmp.com,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-947-4613,613-947-4615,https://www.ourcommons.ca/members/en/marc-dalton(35909),1705764558727
Marc Dalton,Pitt Meadows—Maple Ridge,Marc.Dalton@parl.gc.ca,http://www.marcdaltonmp.com,Constituency Office,Main office -  Maple Ridge,,Maple Ridge,British Columbia,V2X 2T3,,604-466-2761,604-466-7593,https://www.ourcommons.ca/members/en/marc-dalton(35909),1705764558727
Pam Damoff,Oakville North—Burlington,pam.damoff@parl.gc.ca,http://pamdamoff.libparl.ca,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-992-1338,613-992-1344,https://www.ourcommons.ca/members/en/pam-damoff(88884),1705764558727
Pam Damoff,Oakville North—Burlington,pam.damoff@parl.gc.ca,http://pamdamoff.libparl.ca,Constituency Office,Main office -  Oakville,,Oakville,Ontario,L6M 4J2,,905-847-4043,905-847-3037,https://www.ourcommons.ca/members/en/pam-damoff(88884),1705764558727
Raquel Dancho,Kildonan—St. Paul,Raquel.Dancho@parl.gc.ca,http://mpraqueldancho.ca,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-992-7148,613-996-9125,https://www.ourcommons.ca/members/en/raquel-dancho(105521),1705764558727
Raquel Dancho,Kildonan—St. Paul,Raquel.Dancho@parl.gc.ca,http://mpraqueldancho.ca,Constituency Office,Main office -  Winnipeg,,Winnipeg,Manitoba,R2V 4E2,,204-984-6322,204-984-6415,https://www.ourcommons.ca/members/en/raquel-dancho(105521),1705764558727
Scot Davidson,York—Simcoe,Scot.Davidson@parl.gc.ca,http://www.scotdavidson.ca,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-996-7752,613-992-8351,https://www.ourcommons.ca/members/en/scot-davidson(102653),1705764558727
Scot Davidson,York—Simcoe,Scot.Davidson@parl.gc.ca,http://www.scotdavidson.ca,Constituency Office,Main office -  Holland Landing,,Holland Landing,Ontario,L9N 1M7,,905-898-1600,905-898-4600,https://www.ourcommons.ca/members/en/scot-davidson(102653),1705764558727
Don Davies,Vancouver Kingsway,don.davies@parl.gc.ca,http://www.dondavies.ca,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-943-0267,613-943-0219,https://www.ourcommons.ca/members/en/don-davies(59325),1705764558727
Don Davies,Vancouver Kingsway,don.davies@parl.gc.ca,http://www.dondavies.ca,Constituency Office,Main office -  Vancouver,,Vancouver,British Columbia,V5R 5J4,,604-775-6263,604-775-6284,https://www.ourcommons.ca/members/en/don-davies(59325),1705764558727
Claude DeBellefeuille,Salaberry—Suroît,Claude.DeBellefeuille@parl.gc.ca,http://www.claudedebellefeuille.quebec,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-995-2532,613-941-3300,https://www.ourcommons.ca/members/en/claude-debellefeuille(35315),1705764558727
Claude DeBellefeuille,Salaberry—Suroît,Claude.DeBellefeuille@parl.gc.ca,http://www.claudedebellefeuille.quebec,Constituency Office,Main office -  Salaberry-de-Valleyfield,,Salaberry-de-Valleyfield,Quebec,J6T 1Z8,,450-371-0644,450-371-3330,https://www.ourcommons.ca/members/en/claude-debellefeuille(35315),1705764558727
Gérard Deltell,Louis-Saint-Laurent,gerard.deltell@parl.gc.ca,,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-996-4151,613-954-2269,https://www.ourcommons.ca/members/en/gerard-deltell(88535),1705764558727
Gérard Deltell,Louis-Saint-Laurent,gerard.deltell@parl.gc.ca,,Constituency Office,Main office -  Québec,,Québec,Quebec,G2B 3K3,,418-842-5552,418-842-7333,https://www.ourcommons.ca/members/en/gerard-deltell(88535),1705764558727
Chris d'Entremont,West Nova,Chris.dEntremont@parl.gc.ca,http://chrisdentremont.ca/en,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-995-5711,613-996-9857,https://www.ourcommons.ca/members/en/chris-dentremont(49344),1705764558727
Chris d'Entremont,West Nova,Chris.dEntremont@parl.gc.ca,http://chrisdentremont.ca/en,Constituency Office,Main office -  Yarmouth,,Yarmouth,Nova Scotia,B5A 1E9,,902-742-6808,1-866-280-5302,https://www.ourcommons.ca/members/en/chris-dentremont(49344),1705764558727
Chris d'Entremont,West Nova,Chris.dEntremont@parl.gc.ca,http://chrisdentremont.ca/en,Constituency Office,Kingston,,Kingston,Nova Scotia,B0P 1R0,,902-242-3605,,https://www.ourcommons.ca/members/en/chris-dentremont(49344),1705764558727
Caroline Desbiens,Beauport—Côte-de-Beaupré—Île d'Orléans—Charlevoix,Caroline.Desbiens@parl.gc.ca,,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-995-9732,613-996-2656,https://www.ourcommons.ca/members/en/caroline-desbiens(104715),1705764558727
Caroline Desbiens,Beauport—Côte-de-Beaupré—Île d'Orléans—Charlevoix,Caroline.Desbiens@parl.gc.ca,,Constituency Office,Main office -  Ste-Anne-de-Beaupré,,Ste-Anne-de-Beaupré,Quebec,G0A 3C0,,418-827-6776,418-827-7077,https://www.ourcommons.ca/members/en/caroline-desbiens(104715),1705764558727
Caroline Desbiens,Beauport—Côte-de-Beaupré—Île d'Orléans—Charlevoix,Caroline.Desbiens@parl.gc.ca,,Constituency Office,La Malbaie,,La Malbaie,Quebec,G5A 1T1,,418-665-6566,418-665-6166,https://www.ourcommons.ca/members/en/caroline-desbiens(104715),1705764558727
Luc Desilets,Rivière-des-Mille-Îles,Luc.Desilets@parl.gc.ca,http://lucdesilets.quebec,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-992-7330,613-992-2602,https://www.ourcommons.ca/members/en/luc-desilets(104922),1705764558727
Luc Desilets,Rivière-des-Mille-Îles,Luc.Desilets@parl.gc.ca,http://lucdesilets.quebec,Constituency Office,Main office -  St-Eustache,,St-Eustache,Quebec,J7P 4X2,,450-623-3335,450-623-3103,https://www.ourcommons.ca/members/en/luc-desilets(104922),1705764558727
Blake Desjarlais,Edmonton Griesbach,blake.desjarlais@parl.gc.ca,http://blakedesjarlais.ndp.ca,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-992-3821,613-992-6898,https://www.ourcommons.ca/members/en/blake-desjarlais(110889),1705764558727
Blake Desjarlais,Edmonton Griesbach,blake.desjarlais@parl.gc.ca,http://blakedesjarlais.ndp.ca,Constituency Office,Main office -  Edmonton,,Edmonton,Alberta,T5E 0B8,,780-495-3261,780-495-5142,https://www.ourcommons.ca/members/en/blake-desjarlais(110889),1705764558727
Sukh Dhaliwal,Surrey—Newton,sukh.dhaliwal@parl.gc.ca,http://sukhdhaliwal.libparl.ca,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-992-0666,613-992-1965,https://www.ourcommons.ca/members/en/sukh-dhaliwal(31098),1705764558727
Sukh Dhaliwal,Surrey—Newton,sukh.dhaliwal@parl.gc.ca,http://sukhdhaliwal.libparl.ca,Constituency Office,Main office -  Surrey,,Surrey,British Columbia,V3W 2V6,,604-598-2200,604-598-2212,https://www.ourcommons.ca/members/en/sukh-dhaliwal(31098),1705764558727
Anju Dhillon,Dorval—Lachine—LaSalle,anju.dhillon@parl.gc.ca,http://anjudhillon.libparl.ca/?lang=en,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-995-2251,613-996-1481,https://www.ourcommons.ca/members/en/anju-dhillon(88453),1705764558727
Anju Dhillon,Dorval—Lachine—LaSalle,anju.dhillon@parl.gc.ca,http://anjudhillon.libparl.ca/?lang=en,Constituency Office,Main office -  Lachine,,Lachine,Quebec,H8S 2B5,,514-639-4497,514-639-7407,https://www.ourcommons.ca/members/en/anju-dhillon(88453),1705764558727
Lena Metlege Diab,Halifax West,lenametlege.diab@parl.gc.ca,http://lenametlegediab.libparl.ca,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-996-3085,613-996-6988,https://www.ourcommons.ca/members/en/lena-metlege-diab(109915),1705764558727
Lena Metlege Diab,Halifax West,lenametlege.diab@parl.gc.ca,http://lenametlegediab.libparl.ca,Constituency Office,Main office -  Halifax,,Halifax,Nova Scotia,B3L 4H9,,902-426-2217,902-426-8339,https://www.ourcommons.ca/members/en/lena-metlege-diab(109915),1705764558727
Todd Doherty,Cariboo—Prince George,todd.doherty@parl.gc.ca,,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-995-6704,613-996-9850,https://www.ourcommons.ca/members/en/todd-doherty(89249),1705764558727
Todd Doherty,Cariboo—Prince George,todd.doherty@parl.gc.ca,,Constituency Office,Main office -  Prince George,,Prince George,British Columbia,V2L 3G4,,250-564-7771,250-564-6224,https://www.ourcommons.ca/members/en/todd-doherty(89249),1705764558727
Han Dong,Don Valley North,Han.Dong@parl.gc.ca,,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-995-4988,613-995-1686,https://www.ourcommons.ca/members/en/han-dong(105091),1705764558727
Han Dong,Don Valley North,Han.Dong@parl.gc.ca,,Constituency Office,Main office -  Toronto,,Toronto,Ontario,M2J 4V6,,416-443-0623,416-443-9819,https://www.ourcommons.ca/members/en/han-dong(105091),1705764558727
Terry Dowdall,Simcoe—Grey,Terry.Dowdall@parl.gc.ca,http://terrydowdallmp.ca,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-992-4224,613-992-2164,https://www.ourcommons.ca/members/en/terry-dowdall(105410),1705764558727
Terry Dowdall,Simcoe—Grey,Terry.Dowdall@parl.gc.ca,http://terrydowdallmp.ca,Constituency Office,Main office -  Alliston,,Alliston,Ontario,L9R 1J8,,705-435-1809,705-435-6448,https://www.ourcommons.ca/members/en/terry-dowdall(105410),1705764558727
Terry Dowdall,Simcoe—Grey,Terry.Dowdall@parl.gc.ca,http://terrydowdallmp.ca,Constituency Office,Collingwood,,Collingwood,Ontario,L9Y 4H8,,705-445-5557,705-445-5155,https://www.ourcommons.ca/members/en/terry-dowdall(105410),1705764558727
Earl Dreeshen,Red Deer—Mountain View,earl.dreeshen@parl.gc.ca,http://www.earldreeshen.ca,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-995-0590,613-995-6831,https://www.ourcommons.ca/members/en/earl-dreeshen(59226),1705764558727
Earl Dreeshen,Red Deer—Mountain View,earl.dreeshen@parl.gc.ca,http://www.earldreeshen.ca,Constituency Office,Main office -  Red Deer,,Red Deer,Alberta,T4N 4N7,,403-347-7426,403-347-7423,https://www.ourcommons.ca/members/en/earl-dreeshen(59226),1705764558727
Francis Drouin,Glengarry—Prescott—Russell,francis.drouin@parl.gc.ca,,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-992-0490,613-996-9123,https://www.ourcommons.ca/members/en/francis-drouin(88756),1705764558727
Francis Drouin,Glengarry—Prescott—Russell,francis.drouin@parl.gc.ca,,Constituency Office,Main office -  Rockland,,Rockland,Ontario,K4K 1C8,,613-446-6310,613-446-5666,https://www.ourcommons.ca/members/en/francis-drouin(88756),1705764558727
Francis Drouin,Glengarry—Prescott—Russell,francis.drouin@parl.gc.ca,,Constituency Office,Hawkesbury,,Hawkesbury,Ontario,K6A 1A1,,613-632-5214,613-632-3085,https://www.ourcommons.ca/members/en/francis-drouin(88756),1705764558727
Francis Drouin,Glengarry—Prescott—Russell,francis.drouin@parl.gc.ca,,Constituency Office,Alexandria,,Alexandria,Ontario,K0C 1A0,,613-361-9791,613-996-9123,https://www.ourcommons.ca/members/en/francis-drouin(88756),1705764558727
Francis Drouin,Glengarry—Prescott—Russell,francis.drouin@parl.gc.ca,,Constituency Office,Embrun,,Embrun,Ontario,K0A 1W0,,613-292-8222,,https://www.ourcommons.ca/members/en/francis-drouin(88756),1705764558727
Emmanuel Dubourg,Bourassa,emmanuel.dubourg@parl.gc.ca,http://emmanueldubourg.libparl.ca/?lang=en,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-995-6108,613-995-9755,https://www.ourcommons.ca/members/en/emmanuel-dubourg(84660),1705764558727
Emmanuel Dubourg,Bourassa,emmanuel.dubourg@parl.gc.ca,http://emmanueldubourg.libparl.ca/?lang=en,Constituency Office,Main office -  Montreal-Nord,,Montreal-Nord,Quebec,H1G 6E1,,514-323-1212,514-323-2875,https://www.ourcommons.ca/members/en/emmanuel-dubourg(84660),1705764558727
The Honourable Jean-Yves Duclos,Québec,jean-yves.duclos@parl.gc.ca,http://jeanyvesduclos.libparl.ca,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-992-8865,613-995-2805,https://www.ourcommons.ca/members/en/jean-yves-duclos(89408),1705764558727
The Honourable Jean-Yves Duclos,Québec,jean-yves.duclos@parl.gc.ca,http://jeanyvesduclos.libparl.ca,Constituency Office,Main office -  Québec,,Québec,Quebec,G1K 3J4,,418-523-6666,418-523-6672,https://www.ourcommons.ca/members/en/jean-yves-duclos(89408),1705764558727
Terry Duguid,Winnipeg South,terry.duguid@parl.gc.ca,http://terryduguid.libparl.ca,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-995-7517,613-943-1466,https://www.ourcommons.ca/members/en/terry-duguid(31119),1705764558727
Terry Duguid,Winnipeg South,terry.duguid@parl.gc.ca,http://terryduguid.libparl.ca,Constituency Office,Main office -  Winnipeg,,Winnipeg,Manitoba,R3T 2H5,,204-984-6787,204-984-6792,https://www.ourcommons.ca/members/en/terry-duguid(31119),1705764558727
Eric Duncan,Stormont—Dundas—South Glengarry,Eric.Duncan@parl.gc.ca,http://ericduncanmp.ca,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-992-2521,613-996-2119,https://www.ourcommons.ca/members/en/eric-duncan(105422),1705764558727
Eric Duncan,Stormont—Dundas—South Glengarry,Eric.Duncan@parl.gc.ca,http://ericduncanmp.ca,Constituency Office,Main office -  Cornwall,,Cornwall,Ontario,K6J 5C6,,613-937-3331,613-937-3251,https://www.ourcommons.ca/members/en/eric-duncan(105422),1705764558727
Eric Duncan,Stormont—Dundas—South Glengarry,Eric.Duncan@parl.gc.ca,http://ericduncanmp.ca,Constituency Office,Winchester,,Winchester,Ontario,K0C 2K0,,,,https://www.ourcommons.ca/members/en/eric-duncan(105422),1705764558727
Eric Duncan,Stormont—Dundas—South Glengarry,Eric.Duncan@parl.gc.ca,http://ericduncanmp.ca,Constituency Office,Morrisburg,,Morrisburg,Ontario,K0C 1X0,,,,https://www.ourcommons.ca/members/en/eric-duncan(105422),1705764558727
The Honourable Kirsty Duncan,Etobicoke North,kirsty.duncan@parl.gc.ca,http://kirstyduncan.libparl.ca,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-995-4702,613-995-8359,https://www.ourcommons.ca/members/en/kirsty-duncan(58877),1705764558727
The Honourable Kirsty Duncan,Etobicoke North,kirsty.duncan@parl.gc.ca,http://kirstyduncan.libparl.ca,Constituency Office,Main office -  Etobicoke,,Etobicoke,Ontario,M9V 1A3,,416-747-6003,416-747-8295,https://www.ourcommons.ca/members/en/kirsty-duncan(58877),1705764558727
Julie Dzerowicz,Davenport,julie.dzerowicz@parl.gc.ca,http://juliedzerowicz.libparl.ca,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-992-2576,613-995-8202,https://www.ourcommons.ca/members/en/julie-dzerowicz(88721),1705764558727
Julie Dzerowicz,Davenport,julie.dzerowicz@parl.gc.ca,http://juliedzerowicz.libparl.ca,Constituency Office,Main office -  Toronto,,Toronto,Ontario,M6H 1N2,,416-654-8048,416-654-5083,https://www.ourcommons.ca/members/en/julie-dzerowicz(88721),1705764558727
Ali Ehsassi,Willowdale,ali.ehsassi@parl.gc.ca,http://aliehsassi.libparl.ca,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-992-4964,613-992-1158,https://www.ourcommons.ca/members/en/ali-ehsassi(89010),1705764558727
Ali Ehsassi,Willowdale,ali.ehsassi@parl.gc.ca,http://aliehsassi.libparl.ca,Constituency Office,Main office -  Toronto,,Toronto,Ontario,M2N 1M7,,416-223-2858,416-223-9715,https://www.ourcommons.ca/members/en/ali-ehsassi(89010),1705764558727
Fayçal El-Khoury,Laval—Les Îles,faycal.el-khoury@parl.gc.ca,http://faycalelkhoury.libparl.ca/?lang=en,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-992-2659,613-992-9469,https://www.ourcommons.ca/members/en/faycal-el-khoury(88515),1705764558727
Fayçal El-Khoury,Laval—Les Îles,faycal.el-khoury@parl.gc.ca,http://faycalelkhoury.libparl.ca/?lang=en,Constituency Office,Main office -  Laval,,Laval,Quebec,H7X 1G1,,450-689-4594,450-689-5092,https://www.ourcommons.ca/members/en/faycal-el-khoury(88515),1705764558727
Stephen Ellis,Cumberland—Colchester,stephen.ellis@parl.gc.ca,http://drstephenellismp.com,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-992-3366,613-992-7220,https://www.ourcommons.ca/members/en/stephen-ellis(109905),1705764558727
Stephen Ellis,Cumberland—Colchester,stephen.ellis@parl.gc.ca,http://drstephenellismp.com,Constituency Office,Amherst,,Amherst,Nova Scotia,B4H 3A5,,902-667-8679,902-667-0742,https://www.ourcommons.ca/members/en/stephen-ellis(109905),1705764558727
Stephen Ellis,Cumberland—Colchester,stephen.ellis@parl.gc.ca,http://drstephenellismp.com,Constituency Office,Main office -  Truro,,Truro,Nova Scotia,B2N 4B4,,902-895-2863,902-895-9544,https://www.ourcommons.ca/members/en/stephen-ellis(109905),1705764558727
Dave Epp,Chatham-Kent—Leamington,Dave.Epp@parl.gc.ca,http://www.daveeppmp.ca,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-992-2612,613-992-1852,https://www.ourcommons.ca/members/en/dave-epp(105082),1705764558727
Dave Epp,Chatham-Kent—Leamington,Dave.Epp@parl.gc.ca,http://www.daveeppmp.ca,Constituency Office,Main office -  Leamington,,Leamington,Ontario,N8H 3B2,,519-326-9655,519-326-2042,https://www.ourcommons.ca/members/en/dave-epp(105082),1705764558727
Dave Epp,Chatham-Kent—Leamington,Dave.Epp@parl.gc.ca,http://www.daveeppmp.ca,Constituency Office,Chatham,,Chatham,Ontario,N7M 5W3,,519-358-7555,519-358-1428,https://www.ourcommons.ca/members/en/dave-epp(105082),1705764558727
Nathaniel Erskine-Smith,Beaches—East York,nathaniel.erskine-smith@parl.gc.ca,http://beynate.ca,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-992-2115,613-996-7942,https://www.ourcommons.ca/members/en/nathaniel-erskine-smith(88687),1705764558727
Nathaniel Erskine-Smith,Beaches—East York,nathaniel.erskine-smith@parl.gc.ca,http://beynate.ca,Constituency Office,Main office -  Toronto,,Toronto,Ontario,M4C 1J4,,416-467-0860,416-467-0905,https://www.ourcommons.ca/members/en/nathaniel-erskine-smith(88687),1705764558727
Rosemarie Falk,Battlefords—Lloydminster,Rosemarie.Falk@parl.gc.ca,http://www.rosemariefalk.ca,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-995-7080,613-996-8472,https://www.ourcommons.ca/members/en/rosemarie-falk(98749),1705764558727
Rosemarie Falk,Battlefords—Lloydminster,Rosemarie.Falk@parl.gc.ca,http://www.rosemariefalk.ca,Constituency Office,Main office -  Lloydminster,,Lloydminster,Saskatchewan,S9V 2H1,,306-825-5005,,https://www.ourcommons.ca/members/en/rosemarie-falk(98749),1705764558727
Ted Falk,Provencher,ted.falk@parl.gc.ca,http://tedfalk.ca,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-992-3128,613-995-1049,https://www.ourcommons.ca/members/en/ted-falk(84672),1705764558727
Ted Falk,Provencher,ted.falk@parl.gc.ca,http://tedfalk.ca,Constituency Office,Main office -  Steinbach,,Steinbach,Manitoba,R5G 0T3,,204-326-9889,204-346-9874,https://www.ourcommons.ca/members/en/ted-falk(84672),1705764558727
The Honourable Ed Fast,Abbotsford,ed.fast@parl.gc.ca,http://www.edfast.ca,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-995-0183,613-996-9795,https://www.ourcommons.ca/members/en/ed-fast(35904),1705764558727
The Honourable Ed Fast,Abbotsford,ed.fast@parl.gc.ca,http://www.edfast.ca,Constituency Office,Main office -  Abbotsford,,Abbotsford,British Columbia,V2T 6S3,,604-557-7888,604-557-9918,https://www.ourcommons.ca/members/en/ed-fast(35904),1705764558727
The Honourable Greg Fergus,Hull—Aylmer,Greg.Fergus@parl.gc.ca,http://gregfergus.libparl.ca/?lang=en,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-992-7550,613-992-7599,https://www.ourcommons.ca/members/en/greg-fergus(88478),1705764558727
The Honourable Greg Fergus,Hull—Aylmer,Greg.Fergus@parl.gc.ca,http://gregfergus.libparl.ca/?lang=en,Constituency Office,Main office -  Gatineau,,Gatineau,Quebec,J8X 2K5,,819-994-8844,819-994-8557,https://www.ourcommons.ca/members/en/greg-fergus(88478),1705764558727
The Honourable Greg Fergus,Hull—Aylmer,Greg.Fergus@parl.gc.ca,http://gregfergus.libparl.ca/?lang=en,Constituency Office,Gatineau,,Gatineau,Quebec,J9H 6A6,,819-682-1125,819-682-1129,https://www.ourcommons.ca/members/en/greg-fergus(88478),1705764558727
Michelle Ferreri,Peterborough—Kawartha,michelle.ferreri@parl.gc.ca,http://michelleferrerimp.ca,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-995-6411,613-996-9800,https://www.ourcommons.ca/members/en/michelle-ferreri(110604),1705764558727
Michelle Ferreri,Peterborough—Kawartha,michelle.ferreri@parl.gc.ca,http://michelleferrerimp.ca,Constituency Office,Main office -  Peterborough,,Peterborough,Ontario,K9H 3Z1,,705-745-2108,705-741-4123,https://www.ourcommons.ca/members/en/michelle-ferreri(110604),1705764558727
Andy Fillmore,Halifax,andy.fillmore@parl.gc.ca,http://www.andyfillmoremp.ca,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-995-7614,613-992-8569,https://www.ourcommons.ca/members/en/andy-fillmore(88325),1705764558727
Andy Fillmore,Halifax,andy.fillmore@parl.gc.ca,http://www.andyfillmoremp.ca,Constituency Office,Main office -  Halifax,,Halifax,Nova Scotia,B3J 3J8,,902-426-8691,902-426-8693,https://www.ourcommons.ca/members/en/andy-fillmore(88325),1705764558727
The Honourable Kerry-Lynne D. Findlay,South Surrey—White Rock,kerry-lynne.findlay@parl.gc.ca,http://klfindlay.com,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-947-4497,613-947-4500,https://www.ourcommons.ca/members/en/kerry-lynne-d-findlay(20878),1705764558727
The Honourable Kerry-Lynne D. Findlay,South Surrey—White Rock,kerry-lynne.findlay@parl.gc.ca,http://klfindlay.com,Constituency Office,Main office -  Surrey,,Surrey,British Columbia,V4A 9E3,,604-542-9495,604-542-9496,https://www.ourcommons.ca/members/en/kerry-lynne-d-findlay(20878),1705764558727
Darren Fisher,Dartmouth—Cole Harbour,darren.fisher@parl.gc.ca,http://darrenfisher.ca,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-995-9378,613-995-9379,https://www.ourcommons.ca/members/en/darren-fisher(88323),1705764558727
Darren Fisher,Dartmouth—Cole Harbour,darren.fisher@parl.gc.ca,http://darrenfisher.ca,Constituency Office,Main office -  Dartmouth,,Dartmouth,Nova Scotia,B2W 3E5,,902-462-6453,902-462-6493,https://www.ourcommons.ca/members/en/darren-fisher(88323),1705764558727
Peter Fonseca,Mississauga East—Cooksville,peter.fonseca@parl.gc.ca,http://peterfonseca.libparl.ca,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-996-0420,613-996-0279,https://www.ourcommons.ca/members/en/peter-fonseca(71692),1705764558727
Peter Fonseca,Mississauga East—Cooksville,peter.fonseca@parl.gc.ca,http://peterfonseca.libparl.ca,Constituency Office,Main office -  Mississauga,,Mississauga,Ontario,L4Y 2X6,,905-566-0009,905-566-0017,https://www.ourcommons.ca/members/en/peter-fonseca(71692),1705764558727
The Honourable Mona Fortier,Ottawa—Vanier,mona.fortier@parl.gc.ca,,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-992-4766,613-992-6448,https://www.ourcommons.ca/members/en/mona-fortier(96356),1705764558727
The Honourable Mona Fortier,Ottawa—Vanier,mona.fortier@parl.gc.ca,,Constituency Office,Main office -  Vanier,,Vanier,Ontario,K1L 6C7,,613-998-1860,613-947-7963,https://www.ourcommons.ca/members/en/mona-fortier(96356),1705764558727
Rhéal Éloi Fortin,Rivière-du-Nord,rheal.fortin@parl.gc.ca,,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-992-3257,613-992-2156,https://www.ourcommons.ca/members/en/rheal-eloi-fortin(88605),1705764558727
Rhéal Éloi Fortin,Rivière-du-Nord,rheal.fortin@parl.gc.ca,,Constituency Office,Main office -  Saint-Jérôme,,Saint-Jérôme,Quebec,J7Z 2B8,,450-565-0061,450-565-0118,https://www.ourcommons.ca/members/en/rheal-eloi-fortin(88605),1705764558727
Peter Fragiskatos,London North Centre,peter.fragiskatos@parl.gc.ca,http://peterfragiskatos.libparl.ca,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-992-0805,613-992-9613,https://www.ourcommons.ca/members/en/peter-fragiskatos(88827),1705764558727
